,DATE,btc,inf,uem,label
1,2010Q4,109.86122886681093,1.22978,9.5,0.0
2,2011Q1,98.08292530117264,2.14822,9.033333333333331,0.0
3,2011Q2,300.1962823304627,3.34611,9.066666666666666,0.0
4,2011Q3,-114.95787322601372,3.71595,9.0,0.0
5,2011Q4,-8.167803101426706,3.34473,8.633333333333333,0.0
6,2012Q1,4.167269640056803,2.82932,8.266666666666666,1.0
7,2012Q2,31.28723212803395,1.88792,8.2,1.0
8,2012Q3,61.55889462140707,1.68486,8.033333333333333,0.0
9,2012Q4,8.499321283339256,1.90357,7.8,0.0
10,2013Q1,192.99098077088726,1.7402,7.7333333333333325,0.0
11,2013Q2,4.725288485054513,1.41472,7.533333333333333,0.0
12,2013Q3,37.52702061621953,1.50495,7.2333333333333325,0.0
13,2013Q4,173.68370811644692,1.2073,6.933333333333333,0.0
14,2014Q1,-59.45597678138155,1.42991,6.666666666666666,0.0
15,2014Q2,35.63825692922791,2.08034,6.2,1.0
16,2014Q3,-49.22617960740201,1.79097,6.066666666666666,0.0
17,2014Q4,-19.88405548312233,1.16401,5.7,1.0
18,2015Q1,-26.510213850477182,-0.11289,5.533333333333333,0.0
19,2015Q2,7.8749841904172335,0.03701,5.433333333333333,1.0
20,2015Q3,-11.291983288945762,0.15861,5.1,0.0
21,2015Q4,60.03772222739787,0.40047,5.033333333333333,1.0
22,2016Q1,-3.3821362429016233,0.99184,4.9,1.0
23,2016Q2,47.731386612642,1.11003,4.933333333333333,1.0
24,2016Q3,-9.69383702589477,1.15715,4.9,1.0
25,2016Q4,46.01293520700569,1.80698,4.766666666666667,1.0
26,2017Q1,11.34139451735674,2.58713,4.566666666666666,1.0
27,2017Q2,83.23731060115414,1.89059,4.366666666666666,1.0
28,2017Q3,56.41091961727183,1.94494,4.333333333333333,1.0
29,2017Q4,115.57044505109192,2.10778,4.166666666666666,1.0
30,2018Q1,-69.12717381994291,2.221,4.033333333333333,1.0
31,2018Q2,-8.091627428987458,2.68761,3.9333333333333327,1.0
32,2018Q3,3.6262709916552893,2.64316,3.7666666666666666,1.0
33,2018Q4,-58.15186720369301,2.20502,3.8333333333333326,1.0
34,2019Q1,10.067765355897151,1.62017,3.8666666666666663,1.0
35,2019Q2,96.97190829962193,1.8358,3.6,0.0
36,2019Q3,-26.690471776144342,1.76934,3.633333333333333,0.0
37,2019Q4,-14.078125628646987,2.01644,3.6,0.0
38,2020Q1,-11.533169048343872,2.10244,3.8,0.0
39,2020Q2,35.390776600442564,0.44474,12.966666666666667,0.0
40,2020Q3,16.517374244490846,1.25385,8.833333333333332,0.0
41,2020Q4,98.8218759469408,1.20009,6.766666666666667,0.0
42,2021Q1,70.79748389130901,1.89726,6.2,0.0
43,2021Q2,-51.740797961051044,4.81323,5.9,0.0
44,2021Q3,22.404930169210324,5.29055,5.1,0.0
45,2021Q4,5.323614754962769,6.72125,4.2333333333333325,0.0
46,2022Q1,-1.51401613462685,8.00039,3.8,1.0
